"","state","incidents_2013","median_training_2013","mean_firearm_2013","median_nonlethal_2013","mean_stress_2013","median_min_ins_exp_2013","median_community_2013","median_mediation_2013","median_stress_man_2013","mean_force_id_2013","incidents_2018","mean_training_2018","median_firearm_2018","median_nonlethal_2018","mean_stress_2018","median_min_ins_exp_2018","median_community_2018","median_mediation_2018","median_stress_man_2018","mean_force_id_2018"
"1","AK",25,800,85,24,2.14285714285714,2,8,10,0,0.666666666666667,40,867.333333333333,106,22,3,2,8,0,8,1
"2","AL",109,520,56.7142857142857,12,2.95918367346939,3,2,4,4,0.571428571428571,101,637.5,47,20,2.5,3,2,3.5,3.5,0.625
"3","AR",62,520,70.2,8,3.14285714285714,3,3,8,3,0.6,85,646.666666666667,57,12,3,3,3.5,9,6,0.666666666666667
"4","AZ",239,720,67,10,3.63636363636364,2,4,12,6,0.818181818181818,253,855.307692307692,72,20,2.75,0,4,8,8,1
"5","CA",894,960,91.5925925925926,10,3.49206349206349,2,18,7,4,0.962962962962963,759,960.594594594595,84,8,2.60606060606061,2,12,4,3,0.939393939393939
"6","CO",138,880,80.1428571428571,10,3.02721088435374,3,4,8,4,0.904761904761905,215,792.409090909091,83,16,3.22727272727273,1,4,4,4,0.857142857142857
"7","CT",31,1080,78.2857142857143,18,3.26530612244898,3,2,6,6,0.857142857142857,15,1152,86,17.5,2.66666666666667,0.5,9,4,10,1
"8","DC",24,1280,80,30,3.57142857142857,3,0,8,4,0.5,16,1520,109,14,3,3,2,3,2,0
"9","DE",17,880,53.3333333333333,40,3.80952380952381,0,12,8,8,0.666666666666667,9,1013.33333333333,50,28,2.33333333333333,3,8,2,2,0.666666666666667
"10","FL",395,770,74.25,8,3.29493087557604,3,4,8,4.5,0.625,375,804.540540540541,80,8,2.88888888888889,3,8,4,4,0.638888888888889
"11","GA",163,640,50.8888888888889,16,3.49206349206349,3,4,4,3,1,266,734.7,48,6,3.22222222222222,3,2,3,3,0.777777777777778
"12","HI",19,1020,84,48,3.21428571428571,2,22,4,5.5,0.5,29,1059.5,84,28,3.5,2.5,22,4,8,1
"13","IA",29,640,63,8,2.61904761904762,2.5,2,6,3.5,0.833333333333333,37,600,64,10,3,1.5,2,3.5,4,0.833333333333333
"14","ID",27,960,39.3333333333333,8,1.78571428571429,3,4,4,1,0.333333333333333,52,610,44,20,4,3,4,2,0.5,1
"15","IL",141,480,57.1428571428571,8,3.06122448979592,3,8,4,0,0.428571428571429,116,646.2,40,18,3,4.5,8,5,8,0.7
"16","IN",88,680,75.8571428571429,6,3.16326530612245,3,4,4,4,1,102,738.833333333333,79,12,3,4,3.5,3.5,7,0.833333333333333
"17","KS",56,880,67.4285714285714,16,3.16326530612245,0,6,12,4,0.714285714285714,50,805,69.5,10,3.33333333333333,1.5,6,3.5,5,0.666666666666667
"18","KY",82,920,84.8,16,3.71428571428571,3,7,10,4,0.6,100,920,120,16,3,3,5,8,5,0.8
"19","LA",111,540,50.6666666666667,15,3.14285714285714,2,2,2,2,0.714285714285714,108,653.181818181818,80,12,2.9047619047619,2,2,4,4,0.904761904761905
"20","MA",45,920,50.4,7,3.49206349206349,3.5,15.5,10,5,0.8,32,946.666666666667,56,12,2.77777777777778,0,6,4,6,0.625
"21","MD",94,1090,74.2222222222222,24,3.53174603174603,2,14,8.5,4,0.666666666666667,83,1155.625,80,17.5,3,2.5,8,8,6,0.875
"22","ME",25,720,47,2,2.85714285714286,0,4,14,2,0,22,720,47,4,2,5,4,8,12,1
"23","MI",87,731,76,7,3.17857142857143,0,1.5,4,2,0.85,101,837.055555555556,86,12.5,2.94117647058824,3,4,8,8,0.9375
"24","MN",59,1920,51.4666666666667,16,2.33333333333333,5,32,20,15,0.866666666666667,58,1515.55555555556,48,12,3.33333333333333,3,10,8,8,1
"25","MO",136,850,77.1666666666667,13,3.17460317460317,5,1.5,6,2,0.722222222222222,160,893.2,70,16,3,5,8,8,8,0.8
"26","MS",65,480,50.6666666666667,6,3.33333333333333,2.5,6,4,4,0.833333333333333,93,499.111111111111,40,8,2.66666666666667,5,0,4,4,0.833333333333333
"27","MT",28,480,48,6,1.42857142857143,5,2,10,6,1,37,480,40,12,5,5,2,0,12,1
"28","NC",141,640,52.0961538461538,8,3.1,4,0,1.5,0,0.692307692307692,169,741.639344262295,48,12,2.93220338983051,4,0,4,0,0.672413793103448
"29","ND",7,580,28,10,2.14285714285714,3.5,6,6,11,1,14,522.5,18.5,-0.5,4.5,2.5,7.5,4,5.5,0.5
"30","NE",29,840,63.5,13,2.85714285714286,0,5,3,2,0.25,27,811.5,65,16,2.75,2.5,2,1,6,0.75
"31","NH",13,560,48,16,4.28571428571429,0,2,3,4,1,13,640,44,16,3,5,1,0,4,1
"32","NJ",77,860,54.75,17.5,3.51190476190476,3,11,5.5,3.5,0.666666666666667,62,847.272727272727,47,24,3.18181818181818,3,8,5,5,0.909090909090909
"33","NM",99,862,87.4285714285714,0,3.26530612244898,3,8,16,4,0.857142857142857,124,860.625,80,11.5,2.625,3,7,12,3,1
"34","NV",85,680,56.3,31,2.85714285714286,2,4,4,4,0.9,94,725.714285714286,70,20,2.85714285714286,0,5,10,4,0.714285714285714
"35","NY",109,960,56.6176470588235,14.5,3.36405529953917,0.5,4,4,4,0.764705882352941,127,955,72,16,2.88,1,4,4,6,0.84
"36","OH",153,625,63.3235294117647,9,2.87878787878788,5,4,13,3,0.823529411764706,156,858.53488372093,60,8,3.07142857142857,5,6,5,4,0.780487804878049
"37","OK",144,1080,66,16,3.57142857142857,2,10,8,4,0.6,152,1169,70,10,3.57142857142857,1,8,8,8,1
"38","OR",72,640,0,0,3.57142857142857,3,0,0,0,1,95,640,48,4,3,3,11,4,14,1
"39","PA",123,772.5,82.5,12,3.21428571428571,4.5,8,8,8,0.5,122,961.1,124,8,3,4,4,8,8,0.736842105263158
"40","RI",5,915,80.5,4,4.28571428571429,2.5,7,4,3.5,0.5,4,974,106,14,2,1,4,4,6,0
"41","SC",84,480,39,13,2.85714285714286,5,0,5,5,0,97,480,36,2,4,6,0,10,5,0
"42","SD",17,520,50,0,2.85714285714286,0,3,4,2,1,21,580,44,-2,4,5,6,2,3,1
"43","TN",119,760,80.6363636363636,12,3.92857142857143,3,4,8,11,0.727272727272727,160,721.090909090909,80,12,2.8,5,8,8,10,1
"44","TX",487,798,52.6417910447761,16,3.0989010989011,2,8,8,8,0.865671641791045,551,870.4,48,16,3.09859154929577,2,8,4,8,0.888888888888889
"45","UT",51,720,37.2,4,3.57142857142857,0,5,10,4,0.8,75,984.333333333333,54,10.5,3.66666666666667,1.5,4,10,3,0.833333333333333
"46","VA",95,901.5,71.8928571428571,16,3.21428571428571,2,7.5,8,4,0.785714285714286,96,874.193548387097,60,24,3.03333333333333,2,8,8,6,1
"47","VT",6,720,56,8,3.57142857142857,0,16,4,8,1,11,640,45,12,2,0,10,5,9,1
"48","WA",149,860,96.5,14,2.5,4.5,2,9.5,8,1,160,939.333333333333,88,20,3.33333333333333,3,6,8,7,1
"49","WI",80,520,46.8888888888889,5,2.85714285714286,3.5,16,12,0,0.944444444444444,77,790,68,12,3.5,3,4,12,8,0.8
"50","WV",53,640,67,8,4.28571428571429,5,16,8,8,1,45,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","WY",13,811,79,10,1.42857142857143,2,2,1,5,1,23,605,84,17,4,6,2,2,2,0
